RRN,AMOUNT,DATE,ERROR CODE,ERROR DESCRIPTION
85910383965509447051,"2,200.00",2022-10-14 11:26:10,906,org.jboss.resteasy.client.exception.ResteasyWebApplicationException: Unknown error
10235618483497249732,50,2022-10-13 11:24:28,996,org.jboss.resteasy.client.exception.ResteasyWebApplicationException: Unknown error
11372896742106337777,200,2022-10-12 19:01:13,500,org.jboss.resteasy.client.exception.ResteasyWebApplicationException: Unknown error
37574693299476502677,"19,600.00",2022-10-12 12:50:47,996,org.jboss.resteasy.client.exception.ResteasyWebApplicationException: Unknown error
28527079284193966452,"7,000.00",2022-10-12 12:34:07,996,org.jboss.resteasy.client.exception.ResteasyWebApplicationException: Unknown error
79229965892017493470,"7,000.00",2022-10-12 12:30:57,996,org.jboss.resteasy.client.exception.ResteasyWebApplicationException: Unknown error
84484574757231816718,"4,000.00",2022-10-12 10:02:50,996,org.jboss.resteasy.client.exception.ResteasyWebApplicationException: Unknown error
15213920138696794890,"50,000.00",2022-10-12 09:56:00,996,org.jboss.resteasy.client.exception.ResteasyWebApplicationException: Unknown error
94256401857411268943,"6,000.00",2022-10-12 08:23:09,996,org.jboss.resteasy.client.exception.ResteasyWebApplicationException: Unknown error
05785573958816757492,"55,500.00",2022-10-11 11:05:08,failed to respond,javax.ws.rs.ProcessingException: RESTEASY004655: Unable to invoke request: org.apache.http.NoHttpResponseException: 144.91.114.200:8988
03237131814109714302,"11,000.00",2022-10-11 09:32:15,502,org.jboss.resteasy.client.exception.ResteasyWebApplicationException: Unknown error
23473145728413196925,"36,000.00",2022-10-10 17:48:23,502,org.jboss.resteasy.client.exception.ResteasyWebApplicationException: Unknown error
40309769678974906509,"22,000.00",2022-10-10 17:33:26,996,org.jboss.resteasy.client.exception.ResteasyWebApplicationException: Unknown error
58643507792041901033,"14,500.00",2022-10-9 20:05:53,996,org.jboss.resteasy.client.exception.ResteasyWebApplicationException: Unknown error
83145044753131312041,"1,000.00",2022-10-6 17:53:47,502,org.jboss.resteasy.client.exception.ResteasyWebApplicationException: Unknown error
20145104551033369824,"8,000.00",2022-10-6 17:37:13,996,org.jboss.resteasy.client.exception.ResteasyWebApplicationException: Unknown error
12478883692524560062,"1,000.00",2022-10-6 15:34:42,500,org.jboss.resteasy.client.exception.ResteasyWebApplicationException: Unknown error
76834404452830967349,"14,800.00",2022-10-5 21:02:04,906,org.jboss.resteasy.client.exception.ResteasyWebApplicationException: Unknown error
67082727126253952278,"5,000.00",2022-10-5 20:03:23,906,org.jboss.resteasy.client.exception.ResteasyWebApplicationException: Unknown error
61559493148631684000,"15,500.00",2022-10-5 13:56:09,996,org.jboss.resteasy.client.exception.ResteasyWebApplicationException: Unknown error
34903991167744695458,"96,000.00",2022-10-5 11:01:49,996,org.jboss.resteasy.client.exception.ResteasyWebApplicationException: Unknown error
71700893767048224289,950,2022-10-5 10:49:26,906,org.jboss.resteasy.client.exception.ResteasyWebApplicationException: Unknown error
48887812411640464780,"200,000.00",2022-10-5 09:34:59,996,org.jboss.resteasy.client.exception.ResteasyWebApplicationException: Unknown error
77041223067101496232,"1,000.00",2022-10-5 08:38:13,996,org.jboss.resteasy.client.exception.ResteasyWebApplicationException: Unknown error
73944473159039607707,"20,500.00",2022-10-4 20:58:53,996,org.jboss.resteasy.client.exception.ResteasyWebApplicationException: Unknown error
17516567260371503422,"96,000.00",2022-10-4 10:47:28,996,org.jboss.resteasy.client.exception.ResteasyWebApplicationException: Unknown error
20291453408459772588,"7,000.00",2022-10-3 17:35:26,996,org.jboss.resteasy.client.exception.ResteasyWebApplicationException: Unknown error
